Barangay,Date,Year,Month,Record_Type,Value
Addition Hills,2018-07-31,2018,8,moving_avg_6,1.833333
Addition Hills,2018-08-31,2018,9,actual,0.000000
Addition Hills,2018-08-31,2018,9,fitted,1.546071
Addition Hills,2018-08-31,2018,9,moving_avg_6,1.500000
Addition Hills,2018-09-30,2018,10,actual,3.000000
Addition Hills,2018-09-30,2018,10,fitted,1.132505
Addition Hills,2018-09-30,2018,10,moving_avg_6,2.000000
Addition Hills,2018-10-31,2018,11,actual,1.000000
Addition Hills,2018-10-31,2018,11,fitted,1.386088
Addition Hills,2018-10-31,2018,11,moving_avg_6,1.833333
Addition Hills,2018-11-30,2018,12,actual,0.000000
Addition Hills,2018-11-30,2018,12,fitted,1.158876
Addition Hills,2018-11-30,2018,12,moving_avg_6,1.166667
Addition Hills,2018-12-31,2019,1,actual,1.000000
Addition Hills,2018-12-31,2019,1,fitted,0.841346
Addition Hills,2018-12-31,2019,1,moving_avg_6,1.166667
Addition Hills,2019-01-31,2019,2,actual,1.000000
Addition Hills,2019-01-31,2019,2,fitted,1.119600
Addition Hills,2019-01-31,2019,2,moving_avg_6,1.000000
Addition Hills,2019-02-28,2019,3,actual,0.000000
Addition Hills,2019-02-28,2019,3,fitted,1.031644
Addition Hills,2019-02-28,2019,3,moving_avg_6,1.000000
Addition Hills,2019-03-31,2019,4,actual,0.000000
Addition Hills,2019-03-31,2019,4,fitted,0.978951
Addition Hills,2019-03-31,2019,4,moving_avg_6,0.500000
Addition Hills,2019-04-30,2019,5,actual,0.000000
Addition Hills,2019-04-30,2019,5,fitted,0.701735
Addition Hills,2019-04-30,2019,5,moving_avg_6,0.333333
Addition Hills,2019-05-31,2019,6,actual,0.000000
Addition Hills,2019-05-31,2019,6,fitted,0.575620
Addition Hills,2019-05-31,2019,6,moving_avg_6,0.333333
Addition Hills,2019-06-30,2019,7,actual,0.000000
Addition Hills,2019-06-30,2019,7,fitted,0.640173
Addition Hills,2019-06-30,2019,7,moving_avg_6,0.166667
Addition Hills,2019-07-31,2019,8,actual,0.000000
Addition Hills,2019-07-31,2019,8,fitted,0.514209
Addition Hills,2019-07-31,2019,8,moving_avg_6,0.000000
Addition Hills,2019-08-31,2019,9,actual,0.000000
Addition Hills,2019-08-31,2019,9,fitted,0.606393
Addition Hills,2019-08-31,2019,9,moving_avg_6,0.000000
Addition Hills,2019-09-30,2019,10,actual,1.000000
Addition Hills,2019-09-30,2019,10,fitted,0.371788
Addition Hills,2019-09-30,2019,10,moving_avg_6,0.166667
Addition Hills,2019-10-31,2019,11,actual,1.000000
Addition Hills,2019-10-31,2019,11,fitted,0.599997
Addition Hills,2019-10-31,2019,11,moving_avg_6,0.333333
Addition Hills,2019-11-30,2019,12,actual,0.000000
Addition Hills,2019-11-30,2019,12,fitted,0.713820
Addition Hills,2019-11-30,2019,12,moving_avg_6,0.333333
Addition Hills,2019-12-31,2020,1,actual,1.000000
Addition Hills,2019-12-31,2020,1,fitted,0.454407
Addition Hills,2019-12-31,2020,1,moving_avg_6,0.500000
Addition Hills,2020-01-31,2020,2,actual,1.000000
Addition Hills,2020-01-31,2020,2,fitted,0.593142
Addition Hills,2020-01-31,2020,2,moving_avg_6,0.666667
Addition Hills,2020-02-29,2020,3,actual,0.000000
Addition Hills,2020-02-29,2020,3,fitted,0.714836
Addition Hills,2020-02-29,2020,3,moving_avg_6,0.666667
Addition Hills,2020-03-31,2020,4,actual,0.000000
Addition Hills,2020-03-31,2020,4,fitted,0.542429
Addition Hills,2020-03-31,2020,4,moving_avg_6,0.500000
Addition Hills,2020-04-30,2020,5,actual,2.000000
Addition Hills,2020-04-30,2020,5,fitted,0.486166
Addition Hills,2020-04-30,2020,5,moving_avg_6,0.666667
Addition Hills,2020-05-31,2020,6,actual,1.000000
Addition Hills,2020-05-31,2020,6,fitted,0.726828
Addition Hills,2020-05-31,2020,6,moving_avg_6,0.833333
Addition Hills,2020-06-30,2020,7,actual,2.000000
Addition Hills,2020-06-30,2020,7,fitted,0.690880
Addition Hills,2020-06-30,2020,7,moving_avg_6,1.000000
Addition Hills,2020-07-31,2020,8,actual,0.000000
Addition Hills,2020-07-31,2020,8,fitted,0.832613
Addition Hills,2020-07-31,2020,8,moving_avg_6,0.833333
Addition Hills,2020-08-31,2020,9,actual,0.000000
Addition Hills,2020-08-31,2020,9,fitted,0.591490
Addition Hills,2020-08-31,2020,9,moving_avg_6,0.833333
Addition Hills,2020-09-30,2020,10,actual,0.000000
Addition Hills,2020-09-30,2020,10,fitted,0.445887
Addition Hills,2020-09-30,2020,10,moving_avg_6,0.833333
Addition Hills,2020-10-31,2020,11,actual,0.000000
Addition Hills,2020-10-31,2020,11,fitted,0.411453
Addition Hills,2020-10-31,2020,11,moving_avg_6,0.500000
Addition Hills,2020-11-30,2020,12,actual,0.000000
Addition Hills,2020-11-30,2020,12,fitted,0.452455
Addition Hills,2020-11-30,2020,12,moving_avg_6,0.333333
Addition Hills,2020-12-31,2021,1,actual,0.000000
Addition Hills,2020-12-31,2021,1,fitted,0.324619
Addition Hills,2020-12-31,2021,1,moving_avg_6,0.000000
Addition Hills,2021-01-31,2021,2,actual,3.000000
Addition Hills,2021-01-31,2021,2,fitted,0.300904
Addition Hills,2021-01-31,2021,2,moving_avg_6,0.500000
Addition Hills,2021-02-28,2021,3,actual,0.000000
Addition Hills,2021-02-28,2021,3,fitted,0.697921
Addition Hills,2021-02-28,2021,3,moving_avg_6,0.500000
Addition Hills,2021-03-31,2021,4,actual,0.000000
Addition Hills,2021-03-31,2021,4,fitted,0.438377
Addition Hills,2021-03-31,2021,4,moving_avg_6,0.500000
Addition Hills,2021-04-30,2021,5,actual,0.000000
Addition Hills,2021-04-30,2021,5,fitted,0.278169
Addition Hills,2021-04-30,2021,5,moving_avg_6,0.500000
Addition Hills,2021-05-31,2021,6,actual,0.000000
Addition Hills,2021-05-31,2021,6,fitted,0.304145
Addition Hills,2021-05-31,2021,6,moving_avg_6,0.500000
Addition Hills,2021-06-30,2021,7,actual,0.000000
Addition Hills,2021-06-30,2021,7,fitted,0.231848
Addition Hills,2021-06-30,2021,7,moving_avg_6,0.500000
Addition Hills,2021-07-31,2021,8,actual,0.000000
Addition Hills,2021-07-31,2021,8,fitted,0.326676
Addition Hills,2021-07-31,2021,8,moving_avg_6,0.000000
Addition Hills,2021-08-31,2021,9,actual,0.000000
Addition Hills,2021-08-31,2021,9,fitted,0.286773
Addition Hills,2021-08-31,2021,9,moving_avg_6,0.000000
Addition Hills,2021-09-30,2021,10,actual,1.000000
Addition Hills,2021-09-30,2021,10,fitted,0.259188
Addition Hills,2021-09-30,2021,10,moving_avg_6,0.166667
Addition Hills,2021-10-31,2021,11,actual,1.000000
Addition Hills,2021-10-31,2021,11,fitted,0.387177
Addition Hills,2021-10-31,2021,11,moving_avg_6,0.333333
Addition Hills,2021-11-30,2021,12,actual,0.000000
Addition Hills,2021-11-30,2021,12,fitted,0.430740
Addition Hills,2021-11-30,2021,12,moving_avg_6,0.333333
Addition Hills,2021-12-31,2022,1,actual,2.000000
Addition Hills,2021-12-31,2022,1,fitted,0.308455
Addition Hills,2021-12-31,2022,1,moving_avg_6,0.666667
Addition Hills,2022-01-31,2022,2,actual,0.000000
Addition Hills,2022-01-31,2022,2,fitted,0.375062
Addition Hills,2022-01-31,2022,2,moving_avg_6,0.666667
Addition Hills,2022-02-28,2022,3,actual,2.000000
Addition Hills,2022-02-28,2022,3,fitted,0.378793
Addition Hills,2022-02-28,2022,3,moving_avg_6,1.000000
Addition Hills,2022-03-31,2022,4,actual,0.000000
Addition Hills,2022-03-31,2022,4,fitted,0.597553
Addition Hills,2022-03-31,2022,4,moving_avg_6,0.833333
Addition Hills,2022-04-30,2022,5,actual,0.000000
Addition Hills,2022-04-30,2022,5,fitted,0.398132
Addition Hills,2022-04-30,2022,5,moving_avg_6,0.666667
Addition Hills,2022-05-31,2022,6,actual,0.000000
Addition Hills,2022-05-31,2022,6,fitted,0.361477
Addition Hills,2022-05-31,2022,6,moving_avg_6,0.666667
