Barangay,Year,Month,Date,Predicted_Cases,Lower_Bound,Upper_Bound,Risk_Level,Model_Used
Barangka Ilaya,2026,6,2026-06-01,0.389567,-0.323995,1.856337,Low-Moderate,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2026,7,2026-07-01,0.149196,-0.440929,1.362225,Very Low,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2026,8,2026-08-01,0.047878,-0.490218,1.153959,Very Low,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2026,9,2026-09-01,0.096806,-0.466415,1.254531,Very Low,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Ilaya,2026,10,2026-10-01,0.235837,-0.398778,1.540315,Low-Moderate,SARIMAX(2, 0, 1)(0, 1, 1, 12)
Barangka Itaas,2025,10,2025-10-01,0.122242,-0.346662,0.927680,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2025,11,2025-11-01,0.122254,-0.346681,0.927778,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2025,12,2025-12-01,0.122196,-0.346741,0.927757,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,1,2026-01-01,0.122206,-0.346762,0.927851,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,2,2026-02-01,0.122194,-0.346795,0.927908,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,3,2026-03-01,0.122195,-0.346821,0.927987,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,4,2026-04-01,0.142847,-0.334827,0.963546,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,5,2026-05-01,0.142847,-0.334854,0.963625,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,6,2026-06-01,0.130766,-0.342150,0.943652,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,7,2026-07-01,0.127675,-0.344011,0.938523,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,8,2026-08-01,0.125866,-0.345098,0.935515,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,9,2026-09-01,0.125387,-0.345405,0.934778,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Barangka Itaas,2026,10,2026-10-01,0.125349,-0.345455,0.934796,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2025,10,2025-10-01,0.049428,-0.377475,0.769083,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2025,11,2025-11-01,0.049403,-0.378139,0.770889,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2025,12,2025-12-01,0.049405,-0.378785,0.772738,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2026,1,2026-01-01,0.049405,-0.379431,0.774582,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2026,2,2026-02-01,0.049405,-0.380074,0.776424,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2026,3,2026-03-01,0.049405,-0.380716,0.778264,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2026,4,2026-04-01,0.049405,-0.381355,0.780102,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2026,5,2026-05-01,0.049405,-0.381993,0.781939,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
